time,timestamp,key,TOTAL_VOLUME,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,OPEN_PRICE,REGULAR_MARKET_LAST_PRICE,REGULAR_MARKET_TRADE_TIME,REGULAR_MARKET_TRADE_DAY,REGULAR_MARKET_NET_CHANGE,QUOTE_TIME_IN_LONG,TRADE_TIME_IN_LONG
2021-03-29 15:05:44.439443-04:00,1617044744402,TSLA,23417729,,,,,,,,,1617043844170,
2021-03-29 15:05:44.969905-04:00,1617044744938,TSLA,23417865,,,,,,,,,1617043844702,
2021-03-29 15:05:45.496738-04:00,1617044745464,TSLA,23417943,,,,,,,,,1617043845147,
2021-03-29 15:05:46.021645-04:00,1617044745992,TSLA,23418582,,,,,609,53445,,-9.71,1617043845954,1617043845412
2021-03-29 15:05:46.547137-04:00,1617044746504,TSLA,23418667,,,,,,,,,1617043846422,
2021-03-29 15:05:47.111325-04:00,1617044747070,TSLA,23420218,,,,,609.25,53446,,-9.46,1617043846947,1617043846608
2021-03-29 15:05:47.656339-04:00,1617044747626,TSLA,23421049,,,,,609.22,53447,,-9.49,1617043847440,1617043847075
2021-03-29 15:05:48.154996-04:00,1617044748130,TSLA,23421287,,,,,,,,,1617043847939,
2021-03-29 15:05:48.662667-04:00,1617044748635,TSLA,23421460,,,,,609.11,53448,,-9.6,1617043848450,1617043848327
2021-03-29 15:05:49.175564-04:00,1617044749149,TSLA,23421534,,,,,,,,,1617043848947,
2021-03-29 15:05:49.726920-04:00,1617044749700,TSLA,23421645,,,,,609.21,53449,,-9.5,1617043849212,1617043849204
2021-03-29 15:05:50.255505-04:00,1617044750226,TSLA,23422050,,,,,,,,,1617043849948,
2021-03-29 15:05:50.785407-04:00,1617044750744,TSLA,23422167,,,,,,,,,1617043850684,
2021-03-29 15:05:51.282941-04:00,1617044751257,TSLA,23422953,,,,,609.15,53451,,-9.56,1617043851200,1617043851168
2021-03-29 15:05:51.855142-04:00,1617044751827,TSLA,23423669,,,,,608.9506,,,-9.7594,1617043851709,1617043851580
2021-03-29 15:05:52.419374-04:00,1617044752393,TSLA,23423676,,,,,,,,,1617043852210,
2021-03-29 15:05:52.985880-04:00,1617044752943,TSLA,23423734,,,,,,,,,1617043852628,
2021-03-29 15:05:53.554630-04:00,1617044753511,TSLA,23423794,,,,,,,,,1617043853454,
2021-03-29 15:05:54.080131-04:00,1617044754053,TSLA,23423814,,,,,,,,,1617043853882,
2021-03-29 15:05:54.630471-04:00,1617044754595,TSLA,23423920,,,,,,,,,1617043854300,
2021-03-29 15:05:55.143768-04:00,1617044755118,TSLA,23424020,,,,,609.01,53454,,-9.7,1617043854845,1617043854815
2021-03-29 15:05:55.665340-04:00,1617044755628,TSLA,23424941,,,,,609.05,53455,,-9.66,1617043855410,1617043855380
2021-03-29 15:05:56.203064-04:00,1617044756174,TSLA,23425137,,,,,608.9222,,,-9.7878,1617043855959,1617043855824
2021-03-29 15:05:56.772225-04:00,1617044756722,TSLA,23429852,,,,,609.49,53456,,-9.22,1617043856459,1617043856458
2021-03-29 15:05:57.316740-04:00,1617044757285,TSLA,23431288,,,,,609.6187,,,-9.0913,1617043857196,1617043856501
